rung  WNS      delta   worst startpoint -> endpoint
 120   -1.356  +0.001   IssueQueuePlugin_logic_lines_2_ways_0_triggers_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 121   -1.354  +0.002   DcachePlugin_logic_fsm_stateReg_reg[0]_rep__2/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 122   -1.352  +0.002   IssueQueuePlugin_logic_lines_2_ways_1_triggers_reg[2]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[14]/D
 123   -1.349  +0.003   FetchAlignPlugin_logic_ibuf/entries_17_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
 124   -1.348  +0.001   DcachePlugin_logic_fsm_stateReg_reg[0]_rep__0/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 125   -1.347  +0.001   DcachePlugin_logic_valids_3_86_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 126   -1.344  +0.003   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMB/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 127   -1.343  +0.001   DcachePlugin_logic_valids_3_60_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 128   -1.342  +0.001   LsEuPlugin_logic_p4Ctx_fwdStall_reg/C -> LsEuPlugin_logic_p4Ctx_fwdStall_reg/D
 129   -1.337  +0.005   FetchAlignPlugin_logic_ftqMem_reg_0_31_0_13/RAMC/CLK -> FetchAlignPlugin_logic_p0LiveReg_lenWords_reg[2]/D
 130   -1.337  +0.000   FetchAlignPlugin_logic_ibuf/entries_16_pred_lenWords_reg[1]/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
 131   -1.336  +0.001   RobPlugin_logic_head_reg[1]_rep__6/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 132   -1.336  +0.000   DcachePlugin_logic_valids_3_32_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 133   -1.336  +0.000   FetchAlignPlugin_logic_ibuf/entries_19_pred_ambiguousLine_reg/C -> FetchAlignPlugin_logic_ftqMismatchPcReg_reg[17]/CE
 134   -1.335  +0.001   DcachePlugin_logic_valids_3_80_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 135   -1.335  +0.000   DcachePlugin_logic_valids_1_119_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 136   -1.334  +0.001   DcachePlugin_logic_fsm_stateReg_reg[1]_rep__2/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 137   -1.334  +0.000   DcachePlugin_logic_stS3Way_reg[0]/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 138   -1.334  +0.000   DcachePlugin_logic_fsm_stateReg_reg[1]_rep__0/C -> RobPlugin_logic_faultAddrStore_60_reg[31]/CE
 139   -1.334  +0.000   RobPlugin_logic_faultedStore_30_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 140   -1.333  +0.001   DcachePlugin_logic_valids_2_26_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 141   -1.333  +0.000   DcachePlugin_logic_valids_1_90_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 142   -1.333  +0.000   RobPlugin_logic_faultedStore_44_reg/C -> DcachePlugin_logic_s0Payload_lineData_reg[103]/CE
 143   -1.333  +0.000   DcachePlugin_logic_valids_3_87_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
 144   -1.330  +0.003   DcachePlugin_logic_valids_2_11_reg/C -> IssueQueuePlugin_logic_sbInt_busy_reg[34]/D
